Number,Category,Status,Model,Price,Form Statement,Core Reasoning,Admission Test,Failure Modes,Key Disqualifiers,Permanence Mechanism,Confidence,Last Reviewed,Notes,Core_Reasoning,Key_Disqualifiers
32,Sleeping Bag,DECLARED,"Western Mountaineering Ultralite 20°F (or Feathered Friends, Katabatic Gear)",$600-700,,"850+ fill power goose down, differential cut (eliminates cold spots), continuous baffles (down can be shifted), YKK #5 zipper, made in San Jose CA with lifetime repair service. 15-20 years maximum with perfect care: store lofted (never compressed), minimal washing (1-2 times total), keep dry, gentle use. Down addition service available $100-200 after 500+ nights to restore loft. BORDERLINE-close to EMPTY due to inevitable loft degradation and high maintenance requirements. Synthetic bags purely consumable (Primaloft, Climashield compress permanently 3-5 years, 30-50% value loss, non-recoverable).",,,"Synthetic insulation compresses permanently-after 3-5 years regular use, 30-50% insulation loss, non-recoverable. Mass-market down (Coleman, Kelty, REI Co-op $200-300) uses lower fill power (600-700) and cheaper construction-lasts 5-7 years before compression noticeable. Even best down bags degrade: down slowly loses loft from compression cycles (15-30% after 500-1K nights), foam comfort layers still compress, baffles separate (repairable $80-150), shell tears (patchable), zippers fail (replaceable $60-100). High maintenance: storage uncompressed, wash rarely, dry conditions, gentle use. Close to EMPTY-only warranty/repair services keep this declarable.",WARRANTY,4.0,2026-01-16,,,
33,Water Bottle,DECLARED,Klean Kanteen Classic 27 oz single-wall,$25-30,,"18/8 food-grade stainless steel, single-wall construction (no vacuum insulation to fail), wide mouth allows hand/brush cleaning, simple loop cap or sport cap, BPA-free, made in China with consistent QC. Indefinite lifespan-it's a welded steel tube with threaded opening. Dents don't affect function. Replace cap ($8-12) if worn. Insulated bottles (Hydro Flask, similar) are 5-15 year consumables when vacuum fails from outer wall dents-air enters, insulation lost, non-repairable.",,,"Insulated/vacuum bottles: Double-wall with vacuum between walls keeps contents hot/cold for hours BUT if outer wall dents, vacuum fails (air enters), non-repairable, 5-15 years depending on handling. Hydro Flask, similar ($35-50) same failure mode. Nalgene (polycarbonate/Tritan plastic $12-15) scratches internally (harbors bacteria), can absorb strong flavors (coffee), plastic degrades with UV 5-10 years-functional but not ideal, rational replacement cost. Glass (Lifefactory $20-25) superior taste-neutrality but fragile-silicone sleeve helps but breakage risk high. Complex caps with multiple seals add failure points. Narrow mouths prevent proper cleaning.",REPAIRABLE,4.0,2026-01-16,,,
34,Flashlight,DECLARED,Maglite 2D LED,$30-35,,"Aluminum body (impact-resistant, heat-dissipating), standard D-cell batteries (universally available), LED module replaceable ($12-15, 50,000 hour lifespan = 5.7 years continuous use), simple twist switch (fewer failure points than button), made in USA (Ontario, CA), lifetime warranty. Battery leakage preventable: remove batteries during storage or use NiMH D-cell rechargeables. O-rings dry out (replaceable $3-5). Nearly indestructible-aluminum survives drops, LED lasts decades, batteries are commodity, twist switch mechanically simple, no electronics beyond LED driver.",,,"Proprietary batteries (Surefire, Streamlight use CR123A lithium) expensive ($3-5 per battery vs $1 alkaline D-cell) and availability depends on continued production-format could change forcing obsolescence. 18650 lithium rechargeable has higher energy density and rechargeable (500-1K cycles) but proprietary format-when scarce (format change, manufacturer discontinuation) flashlight obsolete. High-end 18650 lights (Fenix, Zebralight $60-120) efficient and bright but depend on 18650 availability + electronic drivers (can fail) + complex UI with switches that wear. Simplicity = durability. Alternative: Maglite 3C or 2AA smaller size, same philosophy.",WARRANTY,4.0,2026-01-16,,,
35,Sweater,DECLARED,Traditional Aran (Irish) Cable Knit from Aran Sweater Market or Carraig Donn,$80-120,,"100% wool (typically merino or wool blend), cable knit construction provides structure that resists stretching, 4-5 ply thick yarn more durable than fine gauge, made in Ireland with traditional patterns. Dense cable knit resists pilling and holds shape. Wool naturally antibacterial and odor-resistant (requires less frequent washing). 15-25 years with proper care: hand wash cold or gentle/wool cycle, lay flat to dry (hanging stretches shoulders), store with moth prevention (cedar, lavender, mothballs). Failure modes: moth damage (preventable, repairable by darning), pilling (removable with sweater stone), elbow wear (repairable with patches or darning), felting from hot water agitation (preventable).",,,"Cashmere ($200-800) softer but less durable-finer fibers pill more aggressively, wear through faster at friction points, 5-10 years vs 15-25 for Aran. Merino base layers (Icebreaker, Smartwool $80-150) finer gauge optimized for layering, more delicate, develop holes 3-7 years. Cotton sweaters lack elasticity, stretch permanently, pill badly, minimal warmth for weight. Synthetic (acrylic, polyester $30-50) pill aggressively and permanently-pills can't be removed (melted synthetic fibers), 2-4 years before unwearable. Requires proper care (hand wash, moth prevention) but this is acceptable maintenance like cast iron seasoning.",REPAIRABLE,4.0,2026-01-16,,,
36,Cooler,DECLARED,RTIC 45-Quart (or 52-Quart) Rotomolded,$200-250,,"Rotomolded polyethylene (one-piece, no seams), 2 in+ polyurethane foam insulation, rubber T-latches (replaceable), stainless steel hinges/hardware, integrated tie-down slots. 5-7 day ice retention. 20-30 years with part replacements: drain plug ($8-12), latches ($10-15 per), gasket ($20-30), rope handles ($15-25). Same construction as Yeti but $100-150 less. Made in China, similar QC. Yeti equivalent at 60% cost-Yeti patents expired, RTIC/Orca/Pelican offer identical rotomolded construction. 45-50 quart optimal size: holds 2-3 days food/drinks for 4 people, fits truck bed, manageable ~80 lbs when full.",,,"Coleman traditional ($50-70) blow-molded plastic (thinner walls), 1 in foam, plastic hinges break 3-5 years, stamped metal latches, holds ice 3-5 days-consumable coolers. Yeti Tundra 45 ($300-400) identical construction but brand tax. Metal coolers (vintage Coleman steel-belted $150-250 new, $50-100 vintage) aesthetic but heavy (25 lbs empty vs 20 lbs plastic), insulation inferior to modern foam-collector items not optimal tools. All rotomolded failure modes recoverable with cheap parts ($8-30). At $250, rational to maintain vs replace.",REPAIRABLE,4.0,2026-01-16,,,
37,Pocket Knife,DECLARED,Opinel No. 8 Stainless,$18-20,,"Victorinox Cadet: 8 functions (large blade, small blade, nail file, screwdriver, can opener, cap lifter), alox aluminum scales (no plastic to fail), spring-back mechanism (no locks), 84mm length optimal pocket size, made in Switzerland. Springs lose tension over decades (20-30 years) but repairable by Victorinox service. Opinel No. 8: Single carbon or stainless blade, beechwood handle, Virobloc locking ring (rotates to lock open/closed), French manufacture since 1890, 8.5cm blade. Stainless for pocket carry (less maintenance), carbon for sharper edge if rust prevention acceptable.",,,"Modern tactical folders (Benchmade, Spyderco $100-200+) use exotic steels (S30V, M390) harder to sharpen without special stones, complex lock mechanisms (axis/liner/frame lock), pocket clips break/loosen, assisted opening (springs/torsion bars fail). Excellent for specific users but complexity/cost work against Platonic ideal. Multi-bit Swiss Army knives (Huntsman, SwissChamp) add complexity. Must declare by Form: multi-tool utility (Cadet) vs pure cutting (Opinel). Both last decades, both repairable, both <$40. Alternative: vintage Swiss Army knives often available $20-40 used.",REPAIRABLE,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,"Form narrowed to a simple folding knife for daily cutting. Minimal parts (blade, handle, rotating Virobloc lock). Easy to sharpen, durable, inexpensive enough to use as a true tool.","Multi-tools are a different Form. Tactical folders add complex locks, clips, assisted-open mechanisms, and hard-to-sharpen steels."
38,Notebook,DECLARED,Mead Composition Notebook 100-sheet,$2-3,,"Sewn binding (pages stitched in signatures of 4-8 pages-signatures sewn together through fold). Stiff cardboard covers protect pages. College-ruled or wide-ruled. Marble pattern cover classic design. Made in USA or Mexico. Sewn binding more durable than glue-even with heavy use pages rarely separate. Manufactured with essentially identical specs for 100+ years. At $2-3, unbeatable value for durability. Replace when full, not when broken. Not archival paper (15-16 lb, may contain recycled content) but functional for decades.",,,"Spiral notebooks: metal or plastic spiral catches on bags, snags clothing, pages tear out at perforation. Spirals deform with pressure. Wire can rust or break. Moleskine ($15-20) uses elastic closures and ribbon bookmarks (nice features) but binding is glued not sewn-pages separate with heavy use, paying $15 for Italian branding vs $2 for equivalent function. Perfect binding (glue only, no stitching) fails over time even in expensive journals (Leuchtturm1917, Rhodia)-pages separate near spine. Legal pads (Ampad Gold Fibre $5-8 for 50 sheets) semi-disposable by design-tear off used pages, useful for transient notes not permanent records.",DURABLE,4.0,2026-01-16,,,
39,Pen,DECLARED,Parker Jotter Stainless Steel,$10-15,,"Stainless steel or brass body lasts indefinitely-it's metal, no degradation. Simple retractable mechanism (spring-loaded with rotating cam) durable and serviceable. Parker Quink refills standard ($4-6 each, writes ~3-4 miles). Manufactured since 1954 with minimal changes. Made in France or USA (pre-2010) or China (current). Body reusable forever, refills commodity items. Not perfect (refills semi-disposable) but best compromise between durability and function. At 500 pages per refill, $6 refill = $0.012/page. Disposable Bic Cristal $0.30 writes similar distance so cost-per-page similar BUT Jotter body permanent.",,,"Disposable pens (Bic Cristal $0.20-0.30, Pilot G2 $2-3) pure consumption with no recovery path. Gel pens (G2, EnerGel, Signo) write smoothly but ink water-based (smears when wet), dries out faster in cartridge, refills $2-3 approaching new pen cost, not archival (fades over decades). Fountain pens (Lamy Safari $30, Pilot Metropolitan $15, high-end Pelikan/Montblanc $200-800) theoretically more durable (refillable from bottles, metal nibs last decades) BUT require maintenance (ink dries in nib if unused, requires cleaning), pressure-sensitive writing, paper quality matters-hobbyist tools not universal instruments. Luxury ballpoints (Montblanc, Cross $200-500+) same refill technology as $15 Jotter, paying for brand/precious metals/aesthetics not function.",REPAIRABLE,4.0,2026-01-16,,,
40,Cutting Board,DECLARED,John Boos Block Edge-Grain Maple 18 in x 12 in x 1.5 in,$60-80,,"Hard maple (tight grain, naturally antimicrobial from tannins/resins), edge-grain construction (wood strips glued on edge-durable and stable), optional juice groove catches liquid. Requires food-grade mineral oil monthly initially then every 3-6 months ($8 for bottle lasting years). Made in USA (Effingham, IL) since 1887. When deeply scored, can be sanded flat and re-oiled. 20-30+ years with care. Wood has natural antimicrobial properties, self-healing (knife cuts between fibers in end-grain, or across fibers in edge-grain but board doesn't harbor bacteria like plastic). Maintenance: wipe with damp cloth (don't soak), oil regularly, never dishwasher, store flat.",,,"Plastic scores deeply within 1-2 years, harbors bacteria in grooves, no self-healing, non-recoverable. Premium plastic (San Jamar Saf-T-Grip $30-40) lasts longer but still develops grooves. Only advantage: dishwasher-safe. Some commercial kitchens require plastic for health codes (color-coding meat/veg). Bamboo ($20-40) marketed eco-friendly but bamboo is grass not wood (denser, harder on knives), glued construction can delaminate. Glass/ceramic destroys knife edges in single use. End-grain ($150-300) better (knife-friendliest, most self-healing) but expensive and requires 2 in+ thickness for stability. Wood requires maintenance (oiling) but is recoverable-without care cracks/warps/fails 3-5 years.",DURABLE,4.0,2026-01-16,,,
41,Vacuum Cleaner,EMPTY,,,,"Every vacuum has motor that will fail. Motor never user-serviceable even in repairable commercial or Miele units-requires technician service at costs approaching replacement. Sanitaire Professional SC679J ($200-250): metal construction, universal bags ($20 for 50), serviceable motor (brushes replaceable), belt-driven brush roll (belt $5 user-replaceable), no electronics. BUT motor burns out 5-10 years heavy use (15-20 residential)-replacement $80-120 plus labor approaches half new cost. Miele Complete C3 ($500-800): German engineering, bagged, repairable by dealers, 7-year warranty BUT motor brushes wear, wiring harness issues, plastic becomes brittle, repairs $150-300.",,,"Sealed motors non-user-serviceable in all models. Proprietary bags/filters (except Sanitaire universal). Bagless (Dyson $300-600) use cyclonic separation but fine dust passes through and enters motor-motors fail prematurely 3-7 years. Battery-powered models (Dyson V11, V15) fail through battery obsolescence 3-5 years. Belts consumable, hoses crack and leak suction, filters clog/degrade, plastic housings crack. Even longevity champions (Sanitaire, Miele) last 10-15 years residential-decent but not Platonic. Category needs: user-replaceable motor (modular, <$50, 15-min swap), universal bag system, metal construction, no electronics, 20-year parts guarantee, published service manuals. Vintage Kirby (1990s-2000s) all-metal, fully serviceable, lasted 20-30 years but parts network collapsed, heavy (25+ lbs), expensive ($1,500-2K in 1990s dollars).",,4.0,2026-01-16,,,
42,Bicycle,DECLARED,Surly Long Haul Trucker,"$1,400-1,600",,"Chromoly steel frame (4130 steel-repairable by welding if damaged, doesn't suddenly fail like carbon fiber), threaded bottom bracket (standardized not press-fit), mechanical components (no electronics), standard derailleur hanger (replaceable), 26 in or 700c wheels (parts always available), rack/fender mounts. EVERY component replaceable: frame 20+ years (weldable), wheels rebuildable (rims wear from braking but rebuildable $200-400), drivetrain $200-400 every 3-10K miles, cables $20-40, bearings $15-40 per set. With regular maintenance indefinite: chain lube every 100-300 miles, cable adjustment quarterly, brake pads 500-2K miles, tire replacement 1-3K miles.",,,"Carbon fiber frames ($2K-10K) lighter but irreparable after impact (splinters not bends), catastrophic failure mode, expensive investment totaled by single crash. Department store bikes ($100-200) use mild steel (heavy, weak), low-quality components fail quickly, non-standard sizing, poor welding-not rebuildable, false economy. Modern road bikes (Trek, Specialized, Giant $2K-8K) use press-fit bottom brackets (fail prematurely, require $200+ tools), electronic shifting (batteries, firmware, proprietary parts), thru-axle wheels (less standardized), integrated cable routing (difficult service)-excellent race bikes but over-engineered for daily transport. Used vintage option most rational: let someone pay depreciation, buy quality frame, rebuild components as needed.",REPAIRABLE,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,"Steel touring bike built around standard, rebuildable components. Chromoly frame, threaded standards, mechanical parts. Frame can last decades; consumables (chain, tires, brake pads) are expected maintenance.","Carbon frames are difficult/unsafe to repair; modern proprietary standards (press-fit, integrated routing, electronic shifting) reduce rebuildability."
43,Dining Chair,DECLARED,Vermont Woods Studios Windsor (or similar solid hardwood traditional chair),$400-500,,"Solid hardwood (cherry, maple, or walnut), traditional joinery (spindles inserted into drilled holes with tight interference fits-mechanical joints, wood expansion/contraction creates lock). Heavy (12-15 lbs per chair = stability). No upholstery means no consumable fabric. No assembly required (arrives as one piece). When joints loosen after 15-20 years daily use, regluing $40-80 per chair or DIY with wood glue and clamps. Alternative: Used vintage solid wood chairs (Heywood-Wakefield, mid-century designs $100-300 per chair) with immediate joint inspection/reglue if needed.",,,"IKEA dining chairs ($50-150) use particleboard frames with veneer, dowel joints with cam-locks (loosen over time, non-rebuildable once particleboard fails), thin wood that cracks, fashion-forward designs optimize shipping over longevity-last 3-7 years before joints fail, regluing doesn't work (particleboard doesn't hold glue). Metal chairs (Tolix, industrial $100-200) durable but uncomfortable for long sitting, welded joints can fail, powder coating chips, no cushioning-good for commercial use not home dining. Upholstered chairs add fabric as consumable (fabric wears at contact points, foam compresses 5-10 years, reupholstering $150-300 per chair approaches cost of new). At $400-500 x 6 chairs = $2,400-3,000 for dining set (out of reach for most-used/vintage market or sales make accessible).",CONSUMABLE,4.0,2026-01-16,,,
44,Printer,EMPTY,,,,"All printers fail 3-12 years through electronics, mechanical wear, or ink monopolies. Inkjet ($50-200 consumer): cartridge DRM chips verify authenticity, ink low warnings shut down with 20-40% remaining, replacement $40-80, page cost $0.15-0.30, print heads clog if unused weekly. Business model: sell cheap printer, extract profit through ink. Tank inkjet (Epson EcoTank, Canon MegaTank): large refillable tanks, bottles $15-20, page cost $0.01-0.02 BUT print heads still clog, electronics fail, 5-7 year lifespan. Laser (Brother HL-L2350DW $100-150): toner doesn't dry out, page cost $0.02-0.05, BUT drum units wear $100-200 every 10-20K pages, fuser units fail $150-300, electronics fail.",,,"Ink cartridge DRM prevents refilling. Print heads sealed/clog. Electronics fail (control boards, sensors, wifi modules). Mechanical wear (paper feed, fuser, drum). Repair economics: parts + labor approach new printer cost. Driver support: OS updates break printer drivers forcing replacement. Even commercial (HP LaserJet Pro M404dn $400-500) designed for 5-year replacement cycle. Brother laser printers least bad (don't aggressively push ink subscriptions, third-party toner mostly works, better reliability than HP/Canon/Epson) but still 8-12 years home use before major component failure. Category needs: open ink/toner (no DRM, no proprietary cartridges), user-replaceable mechanical components, published service manuals, 15-year driver support commitments, modular electronics. For occasional printing, library/print shop ($0.10-0.25/page) may be more rational than ownership.",,4.0,2026-01-16,,,
45,Socks,DECLARED,Darn Tough Vermont Merino Wool,$20-28/pair,,"64% merino wool, 33% nylon reinforcement (heel/toe wear areas), 3% Lycra spandex (elastic). Unconditional lifetime warranty (worn-through socks replaced free, no questions). Made in Vermont (Northfield), seamless toe construction (no friction points), True Seamless technology (knit structure not sewn). Typical lifespan before warranty replacement: 2-5 years depending on use. Functionally permanent through company commitment not rebuilding-warranty depends on company survival (different from rebuild-based permanence like cast iron). Choose cushioning level based on use (light, midweight, full cushion).",,,"Cotton socks ($8-12 Carhartt, Dickies) thicker cotton blend, less moisture management (cotton stays wet), develop holes 6-18 months daily use, no warranty-pure consumption. Smartwool ($18-25) similar merino construction but 2-year warranty only (not lifetime), quality declined since VF Corp acquisition. Synthetic socks (acrylic, polyester) pill permanently and retain odor. Traditional darning (sewing holes closed with yarn) possible but requires skill/time (30-60 min per darn), darned areas less comfortable (bumpy), most lack tools/knowledge-practically extinct skill. Socks inherently wear through at heel/ball from friction-2-5 years not truly rebuildable but warranty makes functionally permanent for user.",WARRANTY,4.0,2026-01-16,,,
46,Watch,DECLARED,Seiko SNK809 Automatic,$75-100,,"Seiko SNK809: Automatic (self-winding) Seiko 7S26 movement, no battery/electronics, service $150-250 every 10-15 years, indefinite lifespan with maintenance, hardlex crystal (scratch-resistant not sapphire), 30m water resistance (splash not swimming), canvas/nylon strap replaceable, made in Japan. Accuracy ±20-45 sec/day acceptable for mechanical. Parts availability excellent-Seiko movements widely serviced. Casio F-91W: Quartz movement, 7-year battery life (CR2016 $3-5 replacement), resin case/strap, made since 1989, 10-20 year lifespan before movement fails, $15-20 replacement so cheap service vs replacement moot-$1-2/year total cost ownership.",,,"Smartwatches (Apple Watch, Garmin, etc.) EMPTY by definition: 3-5 year battery lifespan (lithium degrades, not replaceable rational cost), software obsolescence (OS updates stop, apps require newer), sealed construction. Even Apple Watch Ultra ($800) same mechanisms. Swiss mechanical (Omega, Rolex, Tudor $3K-10K+) higher quality finishing, better accuracy (±2-10 sec/day COSC), service $500-1K every 5-10 years-theoretically rational at $5K but emotional attachment works against tool-use (you baby expensive watches). Fashion brands (Fossil, Michael Kors $100-300) cheap Chinese movements fail 2-5 years, service > replacement, poor parts availability.",REPAIRABLE,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,Mechanical automatic watch avoids batteries and can be serviced indefinitely. Widely supported movement and parts ecosystem; service every 10–15 years is expected maintenance.,Smartwatches are inherently EMPTY (battery + software obsolescence). Quartz is rational consumption but not rebuild-based permanence.
47,Shoes,DECLARED,Alden 990 Plain Toe Blucher (Barrie last),$250-425 new / $100-200 used pre-2016,,"Calfskin leather upper, Goodyear welt construction (upper/insole/sole stitched through welt strip-allows resoling without damaging upper), cork midsole (molds to foot, compresses over time but replaceable), leather sole, made in USA (Port Washington, WI). Recrafting service $150-175 from Allen Edmonds. Resole costs $100-175 every 3-7 years depending on use. Can be resoled 3-5 times before upper wears out. Total lifespan 10-20 years. Pre-2016 USA-made preferred (acquired by Caleres 2016, quality drift). Casual/sneakers EMPTY: foam midsoles compress, cemented construction, 1-3 year lifespan.",,,"Cemented construction (most shoes <$200 Florsheim, Rockport, Cole Haan, Johnston & Murphy) glued soles not stitched-cannot be resoled economically, last 2-5 years before sole separates, pure consumption. Ultra-premium (Alden, Edward Green, John Lobb $500-1,500) use same construction as Allen Edmonds-slightly better leather, hand-finishing, brand prestige but functional lifespan similar, diminishing returns above $400 unless fit exceptional. Blundstone ($180-200) casual Chelsea boots last 3-7 years but polyurethane sole not resolvable in practice, elastic loses tension eventually. SNEAKERS/ATHLETIC SHOES = EMPTY: EVA foam midsoles compress 300-500 miles (1-2 years active use), cemented construction, even premium (Nike, New Balance $120-180) fail through midsole compression.",REPAIRABLE,4.0,2026-01-16,You reference pre-2016 build quality; consider splitting by era or adding sourcing rules.,,
48,Food Storage Container,SPLIT_REQUIRED,,,,"Glass containers indefinite lifespan. Vintage Pyrex (pre-1998) uses borosilicate glass (superior thermal shock resistance, oven-safe to 450°F, available used $5-20 per container, original lids likely degraded). Current Pyrex (post-1998) uses soda-lime glass (less thermal shock resistant, can shatter with rapid temp change, still dishwasher/microwave safe). Anchor Hocking TrueSeal: soda-lime glass, BPA-free plastic lids with silicone seals, leak-proof, made in USA. LIDS ARE CONSUMABLE: plastic lids crack/warp/lose seal 3-7 years typical, silicone gaskets degrade 5-10 years, replacement lids $5-15 each but matching discontinued models luck-dependent. Accept lid replacement as maintenance like knife sharpening. Alternative: ECOlunchbox stainless ($30-35) for dry storage/transport where leak-proof not required-indefinite lifespan, no plastic, not microwave-safe (metal).",,,"Plastic (Tupperware, Rubbermaid, Ziploc $15-20) stains from tomato/turmeric, absorbs odors, warps in dishwasher, lids lose seal, 3-7 years before replacement. Premium plastic (Sistema, OXO) similar degradation despite higher initial cost. Current Pyrex (soda-lime) less thermal shock resistant than vintage borosilicate (can shatter cold water on hot glass). Lids are weak point for all glass storage-plastic/silicone components consumable but glass itself permanent. This is pragmatic compromise: glass indefinite, accept lid replacement every 5-10 years at $5-15 each (routine maintenance not engineered obsolescence).",,,2026-01-16,Split into Glass Food Storage Containers vs Dry-Goods Containers (different sealing + failure modes).,,
49,Level,DECLARED,Stabila Type 196 48 in,$100-120,,"Aluminum profile (1.5mm thick walls-rigid), 3 bubble vials (top-read horizontal, two vertical) precision-set and sealed (won't fog or leak), removable end caps (shock absorption, replaceable $10-15 per cap), accuracy 0.029° (0.5mm/m). Lifetime accuracy guarantee: if level fails accuracy test, Stabila replaces free. Made in Germany. 20-30+ years with care. Add Stabila Type 81S 9 in torpedo ($30-40) for confined spaces. 48 in length optimal for most uses-longer (72-96 in) more accurate for long spans but unwieldy, shorter (24 in) portable but less accurate over distance.",,,"Empire, Johnson, store-brand levels ($20-50 for 48 in) use thinner aluminum (dents more easily affecting accuracy), lower-quality vials (less accurate, can fog), no accuracy guarantee, last 5-10 years before accuracy degrades through repeated drops/denting. Laser levels battery-dependent (consumable 2-5 years) + electronics fail + more expensive ($100-500)-useful for specific applications (tile, framing) but bubble level more universal and no power required. End caps crack with drops (replaceable). Aluminum profile can dent/bend with severe abuse (affects accuracy). Vials theoretically can leak but rare with quality levels.",WARRANTY,4.0,2026-01-16,,,
50,Drill Bits,DECLARED,"Viking Drill & Tool HSS Jobber-Length Twist Bit (M2, 118° split point)",$2-8 each,,"HSS (high-speed steel, M2 grade) standard for general drilling in wood/metal, resharpenable with drill bit grinder ($60-200 equipment) or skill with bench grinder but resharpening requires equipment/skill and each sharpening shortens bit-eventually too short. Cobalt (M42 grade, 5-8% cobalt) 2-3x cost of HSS ($5-15 per bit) but lasts 2-5x longer in hard materials (stainless, hardened steel), also resharpenable. Brad point bits for wood (center point + cutting spurs create clean holes, less tear-out, Viking/Colt sets $40-80 for 1/16 in-1/2 in). Forstner bits for large flat-bottomed holes (Freud $10-30 per bit, resharpenable flat cutting edges). Buy quality individually rather than cheap sets. Semi-consumable: 5-20 years depending on use frequency and material drilled.",,,"Cheap sets dull immediately, poor concentricity (bits wobble). Masonry bits (carbide-tipped) purely consumable-when tungsten carbide tip chips or dulls, replace bit (not repairable). Small bits (<1/4 in) more rational to replace than sharpen ($2-5 new vs time/equipment to sharpen). Large bits (>1/2 in, $15-30 new) worth sharpening investment. New bits often more rational than resharpening for bits under $10-resharpening makes economic sense for expensive bits but not commodities. Accept semi-consumable nature: quality bits last 5-20 years but eventual replacement expected, not engineered obsolescence, just wear from use.",REPAIRABLE,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,Form narrowed to general-purpose twist bits for wood/metal/plastic. Quality M2 HSS holds an edge and is resharpenable; buy individual common sizes as needed rather than cheap soft-steel sets.,Masonry carbide-tipped bits are a different Form and consumable; cobalt is for hard metals (different specialization); cheap sets dull immediately.
51,Extension Cord,DECLARED,US Wire and Cable 12/3 SJTW 50 ft,$50-70,,"12 AWG (American Wire Gauge) copper conductors, SJTW jacket (S=600V service grade, J=300V junior service, T=thermoplastic flexible in cold, W=weather-resistant outdoor use), 3-conductor (hot/neutral/ground), 15-amp capacity at 50 ft with minimal voltage drop, lighted ends indicate power presence, made in USA. 15-25 years light use (homeowner occasional), 3-7 years heavy use (contractor daily). Replaceable ends possible ($5-10) but requires cutting cord and wiring-often uneconomical vs $50-70 new cord. Multiple shorter cords better than one long (less voltage drop, more flexibility).",,,"Thin gauge (16 AWG or 14 AWG) causes voltage drop (tools run weak) and heat buildup (fire risk) under load. Cheap cords ($20-30 for 50 ft generic) use thinner copper (fewer conductors, more resistance), lower-quality jacket (cracks faster in cold/UV), fail 3-5 years regular use-false economy. Non-grounded (2-prong) unsafe for power tools. Molded ends fail from drops/crushing (replaceable but requires electrical skill). Jacket eventually cracks from UV/cold/physical abuse-repairable with electrical tape but safer to replace. Conductor breakage from repeated flexing at strain relief not visible-develops resistance, replace when detected. 100 ft cords have more voltage drop than 50 ft, multiple shorter preferred for most uses.",REPAIRABLE,4.0,2026-01-16,,,
52,Camping Stove,DECLARED,MSR WhisperLite,$100-110,,"MSR WhisperLite: Liquid fuel (white gas/Coleman fuel), pump-pressurized, field-maintainable with maintenance kit ($15-25: O-rings, jet, pump cup, fuel filter). Can also burn kerosene or unleaded auto gas with jet changes. MSR manufactured variants since 1984, parts widely available. Requires priming (learning curve) but works extreme cold and fuel refillable. Maintenance every 2-5 years. Coleman Dual Fuel: Runs Coleman fuel OR unleaded gasoline (flexibility), two burners (full cooking), heavy (12 lbs) for car camping, pump system serviceable, replacement parts available. Coleman manufactured two-burner camp stoves since 1923. Coleman Triton Propane: Uses 16.4oz propane bottles (standard threading, commodity fuel at any hardware store), simple valve system, parts available.",,,"Canister stoves (MSR PocketRocket, Jetboil) lightweight and fast but threaded canisters semi-proprietary (MSR/Jetboil/Snow Peak compatible but format could change), poor cold performance, canisters become litter. Excellent for backpacking but fuel format dependency. Electronic ignition (piezo igniters) batteries fail, not necessary (matches/lighter work). Sealed fuel systems non-serviceable. Aluminum burners corrode with exposure. Liquid fuel stoves universal-white gas widely available at outdoor retailers, can run on alternatives if needed. Propane is commodity (standardized, unlikely format change). Pump seals (leather cup, O-rings) dry out but replaceable $5-15. Fuel line can clog (cleanable, replaceable $10-15). Jet clogs from impurities (cleanable with wire, replaceable $5-10).",REPAIRABLE,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,"Form narrowed to backpacking stove that is field-maintainable. Liquid-fuel, pump-pressurized, no electronics; maintenance kits and replaceable wear parts enable decades of use.",Canister systems depend on fuel format availability and perform poorly in cold; integrated systems lock you into proprietary cookware.
53,Mechanical Pencil,DECLARED,Pentel GraphGear 500 0.7mm (or 0.5mm for fine work),$5-8,,"0.7mm lead size (stronger, doesn't break easily-better for writing/note-taking, 0.5mm for detailed drawing/fine work), metal mesh grip, fixed plastic tip, refillable eraser (Pentel Z2-1N $0.30 each or 3-pack $2-3), metal internal mechanism, made in Japan. Simple advance mechanism (push button, clutch-based). Standard lead (Pentel Super Hi-Polymer 0.5mm or 0.7mm, $2-3 for 12 leads-one pack lasts months). 5-10 years regular use before internal clutch mechanism wears (lead doesn't advance properly) or springs fatigue. At $5-8, rational replacement cost ($0.50-1.60/year).",,,"Rotring 600 ($25-35) premium: all-metal construction (brass body, knurled grip), retractable tip, German design (now made Japan)-more durable body but same mechanism lifespan (5-15 years), at 4x price functional lifespan not 4x longer. BIC/Papermate disposable ($1-2) plastic mechanisms break, non-replaceable erasers, 1-3 year lifespan. Even quality mechanical pencils finite-internal clutch/springs wear. Alternative: Dixon Ticonderoga #2 wood pencils ($10/12) for ultimate simplicity but requires sharpener (manual/electric, creates waste). Mechanical pencils semi-consumable but $5-8 makes replacement rational vs repair when mechanism fails.",REPAIRABLE,4.0,2026-01-16,,,
